dataset_names	model_names	period_end_days	data_inclusion_types	pool_methods	ther_arm_durations	time_origin	ArrayTaskID
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_last_day	mean_pooling	4-month	SOT	1
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_last_day	mean_pooling	4-month	EOT	2
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_last_day	mean_pooling	6-month	SOT	3
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_last_day	mean_pooling	6-month	EOT	4
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_vars	mean_pooling	4-month	SOT	5
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_vars	mean_pooling	4-month	EOT	6
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_vars	mean_pooling	6-month	SOT	7
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	baseline_vars	mean_pooling	6-month	EOT	8
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days	mean_pooling	4-month	SOT	9
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days	mean_pooling	4-month	EOT	10
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days	mean_pooling	6-month	SOT	11
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days	mean_pooling	6-month	EOT	12
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_last_day	mean_pooling	4-month	SOT	13
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_last_day	mean_pooling	4-month	EOT	14
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_last_day	mean_pooling	6-month	SOT	15
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_last_day	mean_pooling	6-month	EOT	16
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_vars	mean_pooling	4-month	SOT	17
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_vars	mean_pooling	4-month	EOT	18
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_vars	mean_pooling	6-month	SOT	19
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	baseline_vars	mean_pooling	6-month	EOT	20
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days	mean_pooling	4-month	SOT	21
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days	mean_pooling	4-month	EOT	22
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days	mean_pooling	6-month	SOT	23
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days	mean_pooling	6-month	EOT	24
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_last_day	mean_pooling	4-month	SOT	25
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_last_day	mean_pooling	4-month	EOT	26
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_last_day	mean_pooling	6-month	SOT	27
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_last_day	mean_pooling	6-month	EOT	28
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_vars	mean_pooling	4-month	SOT	29
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_vars	mean_pooling	4-month	EOT	30
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_vars	mean_pooling	6-month	SOT	31
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	baseline_vars	mean_pooling	6-month	EOT	32
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days	mean_pooling	4-month	SOT	33
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days	mean_pooling	4-month	EOT	34
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days	mean_pooling	6-month	SOT	35
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days	mean_pooling	6-month	EOT	36
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_last_day	mean_pooling	4-month	SOT	37
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_last_day	mean_pooling	4-month	EOT	38
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_last_day	mean_pooling	6-month	SOT	39
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_last_day	mean_pooling	6-month	EOT	40
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_vars	mean_pooling	4-month	SOT	41
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_vars	mean_pooling	4-month	EOT	42
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_vars	mean_pooling	6-month	SOT	43
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	baseline_vars	mean_pooling	6-month	EOT	44
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	all_days	mean_pooling	4-month	SOT	45
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	all_days	mean_pooling	4-month	EOT	46
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	all_days	mean_pooling	6-month	SOT	47
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	93	all_days	mean_pooling	6-month	EOT	48
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_last_day	mean_pooling	4-month	SOT	49
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_last_day	mean_pooling	4-month	EOT	50
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_last_day	mean_pooling	6-month	SOT	51
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_last_day	mean_pooling	6-month	EOT	52
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_vars	mean_pooling	4-month	SOT	53
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_vars	mean_pooling	4-month	EOT	54
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_vars	mean_pooling	6-month	SOT	55
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	baseline_vars	mean_pooling	6-month	EOT	56
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	all_days	mean_pooling	4-month	SOT	57
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	all_days	mean_pooling	4-month	EOT	58
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	all_days	mean_pooling	6-month	SOT	59
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	125	all_days	mean_pooling	6-month	EOT	60
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_last_day	mean_pooling	4-month	SOT	61
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_last_day	mean_pooling	4-month	EOT	62
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_last_day	mean_pooling	6-month	SOT	63
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_last_day	mean_pooling	6-month	EOT	64
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_vars	mean_pooling	4-month	SOT	65
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_vars	mean_pooling	4-month	EOT	66
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_vars	mean_pooling	6-month	SOT	67
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	baseline_vars	mean_pooling	6-month	EOT	68
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	all_days	mean_pooling	4-month	SOT	69
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	all_days	mean_pooling	4-month	EOT	70
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	all_days	mean_pooling	6-month	SOT	71
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	160	all_days	mean_pooling	6-month	EOT	72
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	all	baseline_last_day	mean_pooling	4-month	SOT	73
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	all	baseline_last_day	mean_pooling	4-month	EOT	74
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	all	baseline_last_day	mean_pooling	6-month	SOT	75
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	all	baseline_last_day	mean_pooling	6-month	EOT	76
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	all	baseline_vars	mean_pooling	4-month	SOT	77
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	all	baseline_vars	mean_pooling	4-month	EOT	78
