dataset_names	model_names	period_end_days	training_data_types	ArrayTaskID
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	baseline	all_days_in_period	1
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	baseline	last_therapy_day	2
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	31	all_days_in_period	3
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	31	last_therapy_day	4
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	62	all_days_in_period	5
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	62	last_therapy_day	6
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	93	all_days_in_period	7
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	93	last_therapy_day	8
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	125	all_days_in_period	9
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	125	last_therapy_day	10
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	160	all_days_in_period	11
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	160	last_therapy_day	12
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	all	all_days_in_period	13
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	XGBoost	all	last_therapy_day	14
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	baseline	all_days_in_period	15
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	baseline	last_therapy_day	16
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	31	all_days_in_period	17
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	31	last_therapy_day	18
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	62	all_days_in_period	19
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	62	last_therapy_day	20
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	93	all_days_in_period	21
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	93	last_therapy_day	22
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	125	all_days_in_period	23
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	125	last_therapy_day	24
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	160	all_days_in_period	25
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	160	last_therapy_day	26
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	all	all_days_in_period	27
tb20_21_22_2905_pats_8_vars_relapse_ext_pats	LogisticRegression	all	last_therapy_day	28
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	baseline	all_days_in_period	29
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	baseline	last_therapy_day	30
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	31	all_days_in_period	31
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	31	last_therapy_day	32
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	62	all_days_in_period	33
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	62	last_therapy_day	34
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	93	all_days_in_period	35
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	93	last_therapy_day	36
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	125	all_days_in_period	37
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	125	last_therapy_day	38
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	160	all_days_in_period	39
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	160	last_therapy_day	40
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	all	all_days_in_period	41
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	XGBoost	all	last_therapy_day	42
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	baseline	all_days_in_period	43
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	baseline	last_therapy_day	44
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	31	all_days_in_period	45
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	31	last_therapy_day	46
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	62	all_days_in_period	47
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	62	last_therapy_day	48
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	93	all_days_in_period	49
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	93	last_therapy_day	50
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	125	all_days_in_period	51
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	125	last_therapy_day	52
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	160	all_days_in_period	53
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	160	last_therapy_day	54
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	all	all_days_in_period	55
tb20_21_22_2905_pats_8_vars_relapse_ext_pats_no_rifaquin	LogisticRegression	all	last_therapy_day	56
