dataset_names	model_names	period_end_days	training_data_types	ther_arm_durations	time_origin	ArrayTaskID
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days_in_period	4-month	SOT	1
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days_in_period	4-month	EOT	2
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days_in_period	6-month	SOT	3
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	all_days_in_period	6-month	EOT	4
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	last_therapy_day	4-month	SOT	5
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	last_therapy_day	4-month	EOT	6
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	last_therapy_day	6-month	SOT	7
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	baseline	last_therapy_day	6-month	EOT	8
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days_in_period	4-month	SOT	9
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days_in_period	4-month	EOT	10
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days_in_period	6-month	SOT	11
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	all_days_in_period	6-month	EOT	12
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	last_therapy_day	4-month	SOT	13
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	last_therapy_day	4-month	EOT	14
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	last_therapy_day	6-month	SOT	15
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	31	last_therapy_day	6-month	EOT	16
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days_in_period	4-month	SOT	17
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days_in_period	4-month	EOT	18
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days_in_period	6-month	SOT	19
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	all_days_in_period	6-month	EOT	20
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	last_therapy_day	4-month	SOT	21
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	last_therapy_day	4-month	EOT	22
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	last_therapy_day	6-month	SOT	23
tb21_22_2984_pats_22_vars_relapse	LogisticHazard	62	last_therapy_day	6-month	EOT	24
