period_end_days	data_inclusion_types	model_names	ArrayTaskID
31	baseline_last_day	XGBoost	1
31	baseline_last_day	LogisticRegression	2
31	baseline_vars	XGBoost	3
31	baseline_vars	LogisticRegression	4
31	all_days	XGBoost	5
31	all_days	LogisticRegression	6
62	baseline_last_day	XGBoost	7
62	baseline_last_day	LogisticRegression	8
62	baseline_vars	XGBoost	9
62	baseline_vars	LogisticRegression	10
62	all_days	XGBoost	11
62	all_days	LogisticRegression	12
93	baseline_last_day	XGBoost	13
93	baseline_last_day	LogisticRegression	14
93	baseline_vars	XGBoost	15
93	baseline_vars	LogisticRegression	16
93	all_days	XGBoost	17
93	all_days	LogisticRegression	18
125	baseline_last_day	XGBoost	19
125	baseline_last_day	LogisticRegression	20
125	baseline_vars	XGBoost	21
125	baseline_vars	LogisticRegression	22
125	all_days	XGBoost	23
125	all_days	LogisticRegression	24
160	baseline_last_day	XGBoost	25
160	baseline_last_day	LogisticRegression	26
160	baseline_vars	XGBoost	27
160	baseline_vars	LogisticRegression	28
160	all_days	XGBoost	29
160	all_days	LogisticRegression	30
all	baseline_last_day	XGBoost	31
all	baseline_last_day	LogisticRegression	32
all	baseline_vars	XGBoost	33
all	baseline_vars	LogisticRegression	34
all	all_days	XGBoost	35
all	all_days	LogisticRegression	36
